plugin,route,in_strict_set,record_type,record_id,topic
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_boots,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_cuirass,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_cuirass_htab,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_fountain_helm,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_gauntlet_left,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_gauntlet_right,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_greaves,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_greaves_htab,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_pauldron_left,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_pauldron_right,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,ARMO,daedric_terrifying_helm,
Armor/DaedricLordArmorMorrowindEdition/DaedricArmor.esp,plugin,yes,WEAP,daedric dai-katana,
Armor/DaedricLordArmorMorrowindEdition/Optional/BeastLeggings/DaedricArmor_beastleggings.esp,plugin,yes,ARMO,daedric_boots,
CitiesTowns/BeautifulCitiesofMorrowind/00 Core/Beautiful cities of Morrowind.ESP,lua,no,BOOK,bk_guide_to_vivec,
CitiesTowns/BeautifulCitiesofMorrowind/Patches/14 Master Index Redux/MasterIndexRedux.esp,plugin,yes,INFO,1131515014464226706,kogoruhn
CitiesTowns/BeautifulCitiesofMorrowind/Patches/30 Morrowind Anticheese/Morrowind Anti-Cheese.ESP,plugin,yes,CREA,daedroth_az,
