record_type,record_id,field,route,rules,length_delta,before,after
GMST,sEffectSummonDaedroth,value.data,lua,R400,0,Summon Daedroth,Summon Zenaroth
CLAS,Sorcerer,description,plugin,R200,-2,"Though spellcasters by vocation, sorcerers rely most on summonings and enchantments. They are greedy for magic scrolls, rings, armor, and weapons, and commanding undead and Daedric servants gratifies their egos.","Though spellcasters by vocation, sorcerers rely most on summonings and enchantments. They are greedy for magic scrolls, rings, armor, and weapons, and commanding undead and Zenar servants gratifies their egos."
SKIL,,description,plugin,R300,0,"Heavy Armor skill is used to move and defend while wearing massive and rigid armors like iron, steel, silver, Dwemer, ebony, and Daedric armor. To use any style of armor effectively, the wearer must be trained, conditioned, and skilled in its use.","Heavy Armor skill is used to move and defend while wearing massive and rigid armors like iron, steel, silver, Dwemer, ebony, and Zenaric armor. To use any style of armor effectively, the wearer must be trained, conditioned, and skilled in its use."
SKIL,,description,plugin,R300,0,"The spell effects of the College of Conjuration include the mental domination of mundane and magical creatures, summonation of otherworldly weapons and armor, and summonation of Daedric or undead servants and powers to serve and protect the caster.","The spell effects of the College of Conjuration include the mental domination of mundane and magical creatures, summonation of otherworldly weapons and armor, and summonation of Zenaric or undead servants and powers to serve and protect the caster."
MGEF,,description,lua,R500,-1,"This effect temporarily reduces a humanoid's attack rating (i.e., its inclination to attack). The effect's magnitude is the value of the reduction of the attack rating. When the effect ends, the humanoid's attack rating returns to normal. Creatures, undead, Daedra, and artifacts are not affected.","This effect temporarily reduces a humanoid's attack rating (i.e., its inclination to attack). The effect's magnitude is the value of the reduction of the attack rating. When the effect ends, the humanoid's attack rating returns to normal. Creatures, undead, Zenar, and artifacts are not affected."
MGEF,,description,lua,R500,-1,"This effect temporarily reduces a creature's attack rating (i.e., its inclination to attack). The effect's magnitude is the value of the reduction of the attack rating. When the effect ends, the creature's attack rating returns to normal. Humanoids, undead, Daedra, and artifacts are not affected.","This effect temporarily reduces a creature's attack rating (i.e., its inclination to attack). The effect's magnitude is the value of the reduction of the attack rating. When the effect ends, the creature's attack rating returns to normal. Humanoids, undead, Zenar, and artifacts are not affected."
MGEF,,description,lua,R500,-1,"This effect temporarily increases a humanoid's attack rating (i.e., its inclination to attack). The effect's magnitude is the value of the increase in the attack rating. When the effect ends, the humanoid's attack rating returns to normal. Creatures, undead, Daedra, and artifacts are not affected.","This effect temporarily increases a humanoid's attack rating (i.e., its inclination to attack). The effect's magnitude is the value of the increase in the attack rating. When the effect ends, the humanoid's attack rating returns to normal. Creatures, undead, Zenar, and artifacts are not affected."
MGEF,,description,lua,R500,-1,"This effect temporarily increases a creature's attack rating (i.e., its inclination to attack). The effect's magnitude is the value of the increase in the attack rating. When the effect ends, the creature's attack rating returns to normal. Humanoids, undead, Daedra, and artifacts are not affected.","This effect temporarily increases a creature's attack rating (i.e., its inclination to attack). The effect's magnitude is the value of the increase in the attack rating. When the effect ends, the creature's attack rating returns to normal. Humanoids, undead, Zenar, and artifacts are not affected."
MGEF,,description,lua,R500,-1,"This effect temporarily increases a humanoid's flee rating (i.e., its inclination to flee from an attacker). The effect's magnitude is the value of the increase of the flee rating. When the effect ends, the humanoid's flee rating returns to normal. Creatures, undead, Daedra, and artifacts are not affected.","This effect temporarily increases a humanoid's flee rating (i.e., its inclination to flee from an attacker). The effect's magnitude is the value of the increase of the flee rating. When the effect ends, the humanoid's flee rating returns to normal. Creatures, undead, Zenar, and artifacts are not affected."
MGEF,,description,lua,R500,-1,"This effect temporarily increases a creature's flee rating (i.e., its inclination to flee from an attacker). The effect's magnitude is the value of the increase of the flee rating. When the effect ends, the creature's flee rating returns to normal. Humanoids, undead, Daedra, and artifacts are not affected.","This effect temporarily increases a creature's flee rating (i.e., its inclination to flee from an attacker). The effect's magnitude is the value of the increase of the flee rating. When the effect ends, the creature's flee rating returns to normal. Humanoids, undead, Zenar, and artifacts are not affected."
MGEF,,description,lua,R500,-1,"This effect temporarily decreases a humanoid's flee rating (i.e., its inclination to flee from an attacker). The effect's magnitude is the value of the decrease in the flee rating. When the effect ends, the humanoid's flee rating returns to normal. Creatures, undead, Daedra, and artifacts are not affected.","This effect temporarily decreases a humanoid's flee rating (i.e., its inclination to flee from an attacker). The effect's magnitude is the value of the decrease in the flee rating. When the effect ends, the humanoid's flee rating returns to normal. Creatures, undead, Zenar, and artifacts are not affected."
MGEF,,description,lua,R500,-1,"This effect temporarily decreases a creature's flee rating (i.e., its inclination to flee from an attacker). The effect's magnitude is the value of the decrease in the flee rating. When the effect ends, the creature's flee rating returns to normal. Humanoids, undead, Daedra, and artifacts are not affected.","This effect temporarily decreases a creature's flee rating (i.e., its inclination to flee from an attacker). The effect's magnitude is the value of the decrease in the flee rating. When the effect ends, the creature's flee rating returns to normal. Humanoids, undead, Zenar, and artifacts are not affected."
MGEF,,description,lua,R400,0,"This effect summons a daedroth from Oblivion. It appears six feet in front of the caster and attacks any entity that attacks the caster until the effect ends or the summoning is killed. At death, or when the effect ends, the summoning disappears, returning to Oblivion. If summoned in town, the guards will attack you and the summoning on sight.","This effect summons a zenaroth from Oblivion. It appears six feet in front of the caster and attacks any entity that attacks the caster until the effect ends or the summoning is killed. At death, or when the effect ends, the summoning disappears, returning to Oblivion. If summoned in town, the guards will attack you and the summoning on sight."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light Daedric dagger. The dagger appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the dagger disappears, and any previously equipped weapon is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light Zenaric dagger. The dagger appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the dagger disappears, and any previously equipped weapon is automatically re-equipped."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light Daedric longsword. The longsword appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the longsword disappears, and any previously equipped weapon is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light Zenaric longsword. The longsword appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the longsword disappears, and any previously equipped weapon is automatically re-equipped."
MGEF,,description,lua,R300 R500,-1,"The spell effect conjures a lesser Daedra bound in the form of a magical, wondrously light Daedric mace. The mace appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the mace disappears, and any previously equipped weapon is automatically re-equipped.","The spell effect conjures a lesser Zenar bound in the form of a magical, wondrously light Zenaric mace. The mace appears automatically equipped on the caster, displacing any currently equipped weapon to inventory.  When the effect ends, the mace disappears, and any previously equipped weapon is automatically re-equipped."
