route,record_type,record_id,field,rules,substitutions,length_delta,produced,topic,topic_keyword_before,topic_keyword_after
lua,GMST,sEffectAbsorbSpellPoints,value,R900,1,-1,13,,0,0
lua,GMST,sEffectDamageMagicka,value,R900,1,-1,13,,0,0
lua,GMST,sEffectDrainSpellpoints,value,R900,1,-1,12,,0,0
lua,GMST,sEffectFortifyMagickaMultiplier,value,R900,1,-1,22,,0,0
lua,GMST,sEffectFortifySpellpoints,value,R900,1,-1,14,,0,0
lua,GMST,sEffectResistMagicka,value,R710,1,2,16,,0,0
lua,GMST,sEffectRestoreSpellPoints,value,R900,1,-1,14,,0,0
lua,GMST,sEffectStuntedMagicka,value,R900,1,-1,14,,0,0
lua,GMST,sEffectSummonDaedroth,value,R400,1,0,15,,0,0
lua,GMST,sEffectWeaknessToMagicka,value,R720,1,2,21,,0,0
lua,GMST,sIntDesc,value,R900,1,-1,41,,0,0
lua,GMST,sMagDesc,value,R900,1,-1,61,,0,0
lua,GMST,sMagic,value,R900,1,-1,6,,0,0
lua,GMST,sMagicInsufficientSP,value,R900,1,-1,48,,0,0
lua,GMST,sSpellmakingHelp2,value,R810,1,0,48,,0,0
plugin,CLAS,Sorcerer,description,R200,1,-2,209,,0,0
plugin,SKIL,HeavyArmor,description,R300,1,0,247,,0,0
plugin,SKIL,Conjuration,description,R300,1,0,248,,0,0
lua,MGEF,DrainMagicka,description,R900,3,-3,231,,0,0
lua,MGEF,DamageMagicka,description,R900,4,-4,319,,0,0
lua,MGEF,CalmHumanoid,description,R500,1,-1,296,,0,0
lua,MGEF,CalmCreature,description,R500,1,-1,296,,0,0
lua,MGEF,FrenzyHumanoid,description,R500,1,-1,297,,0,0
lua,MGEF,FrenzyCreature,description,R500,1,-1,297,,0,0
lua,MGEF,DemoralizeHumanoid,description,R500,1,-1,306,,0,0
lua,MGEF,DemoralizeCreature,description,R500,1,-1,306,,0,0
lua,MGEF,RallyHumanoid,description,R500,1,-1,306,,0,0
lua,MGEF,RallyCreature,description,R500,1,-1,306,,0,0
lua,MGEF,Dispel,description,R730,1,2,196,,0,0
lua,MGEF,SpellAbsorption,description,R800 R900,5,-10,415,,0,0
lua,MGEF,RestoreMagicka,description,R900,3,-3,185,,0,0
lua,MGEF,FortifyMagicka,description,R900,3,-3,220,,0,0
lua,MGEF,FortifyMagickaMultiplier,description,R900,3,-3,310,,0,0
lua,MGEF,AbsorbMagicka,description,R900,4,-4,286,,0,0
lua,MGEF,ResistMagicka,description,R730,1,2,235,,0,0
lua,MGEF,SummonDaedroth,description,R400,1,0,345,,0,0
lua,MGEF,BoundDagger,description,R300 R500,2,-1,328,,0,0
lua,MGEF,BoundLongsword,description,R300 R500,2,-1,337,,0,0
lua,MGEF,BoundMace,description,R300 R500,2,-1,322,,0,0
lua,MGEF,BoundBattleAxe,description,R300 R500,2,-1,340,,0,0
lua,MGEF,BoundSpear,description,R300 R500,2,-1,325,,0,0
lua,MGEF,BoundLongbow,description,R300 R500,2,-1,331,,0,0
lua,MGEF,BoundCuirass,description,R300 R500,2,-1,341,,0,0
lua,MGEF,BoundHelm,description,R300 R500,2,-1,330,,0,0
lua,MGEF,BoundBoots,description,R300 R500,2,-1,339,,0,0
lua,MGEF,BoundShield,description,R300 R500,2,-1,328,,0,0
lua,MGEF,BoundGloves,description,R300 R500,2,-1,356,,0,0
lua,MGEF,StuntedMagicka,description,R900,1,-1,91,,0,0
lua,SPEL,absorb spell points,name,R800,1,-6,13,,0,0
lua,SPEL,absorb spell points [ranged],name,R800,1,-6,22,,0,0
lua,SPEL,ash curse: spell points,name,R800,1,-6,17,,0,0
lua,SPEL,curse spell points,name,R800,1,-6,12,,0,0
lua,SPEL,daedric agility,name,R300,1,0,15,,0,0
