actor_id,actor_name,unique_info_count,total_words,keyword_info_count,keyword_words
artisa arelas,Artisa Arelas,217,11885,7,360
caius cosades,Caius Cosades,172,8878,2,135
falco galenus,Falco Galenus,309,8327,0,0
carnius magius,Carnius Magius,303,7672,0,0
torasa aram,Torasa Aram,306,6732,0,0
nibani maesa,Nibani Maesa,132,6017,0,0
tienius delitian,Tienius Delitian,149,5438,0,0
eno hlaalu,Eno Hlaalu,229,4948,2,84
korst wind-eye,Korst Wind-Eye,140,4883,0,0
vivec_god,Vivec,75,4510,4,328
crassius curio,Crassius Curio,149,4489,0,0
stacey,Gentleman Jim Stacey,174,4483,0,0
athyn sarethi,Athyn Sarethi,145,4402,0,0
iulus truptor,Iulus Truptor,100,4146,0,0
aryon,Aryon,146,3992,4,88
lalatia varian,Lalatia Varian,87,3990,9,601
bols indalen,Bols Indalen,146,3898,0,0
synnolian tunifus,Synnolian Tunifus,87,3888,0,0
ygfa,Ygfa,88,3869,3,170
tendris vedran,Tendris Vedran,115,3646,3,112
kaye,Kaye,89,3562,3,250
brynjolfr,Brynjolfr,107,3527,0,0
nileno dorvayn,Nileno Dorvayn,160,3348,0,0
edwinna elbert,Edwinna Elbert,147,3258,0,0
almalexia,Almalexia,87,3252,1,84
king hlaalu helseth,King Hlaalu Helseth,96,3219,0,0
persius mercius,Percius Mercius,114,3189,0,0
sul-matuul,Sul-Matuul,64,3069,2,113
garothmuk gro-muzgub,Garothmuk gro-Muzgub,56,2931,8,428
yagrum bagarn,Yagrum Bagarn,70,2926,0,0
ahnassi,Ahnassi,67,2897,0,0
anarenen,Anarenen,95,2835,3,112
barenziah,Barenziah,71,2495,0,0
smokey morth,Smokey Morth,57,2449,15,559
baladas demnevanni,Baladas Demnevanni,92,2434,0,0
tholer saryoni,Tholer Saryoni,67,2423,3,228
estirdalin,Estirdalin,50,2396,3,170
hasphat antabolis,Hasphat Antabolis,54,2355,0,0
fedris hler,Fedris Hler,74,2319,0,0
sinnammu mirpal,Sinnammu Mirpal,59,2312,23,1103
neminda,Neminda,112,2293,0,0
tharsten heart-fang,Tharsten Heart-Fang,87,2292,0,0
savile imayn,Savile Imayn,73,2282,0,0
divayth fyr,Divayth Fyr,73,2261,0,0
han-ammu,Han-Ammu,47,2259,0,0
eydis fire-eye,Eydis Fire-Eye,98,2207,2,43
hassour zainsubani,Hassour Zainsubani,45,2137,0,0
huleeya,Huleeya,44,2066,0,0
general darius,Darius,98,2030,0,0
ranis athrys,Ranis Athrys,90,1988,0,0
ajira,Ajira,90,1943,0,0
falx carius,Captain Falx Carius,78,1941,0,0
strillian macro,Strillian Macro,37,1894,3,170
vala catraso,Vala Catraso,54,1850,12,389
marena gilnith,Marena Gilnith,68,1841,0,0
mehra milo,Mehra Milo,37,1826,0,0
hrundi,Hrundi,85,1799,0,0
plitinius mero,Plitinius Mero,42,1757,0,0
manirai,Manirai,43,1756,0,0
eraamion,Eraamion,35,1754,3,170
nerile andaren,Nerile Andaren,50,1744,0,0
addhiranirr,Addhiranirr,43,1735,0,0
vedam dren,Duke Vedam Dren,52,1700,0,0
melvure rindu,Melvure Rindu,34,1670,3,170
gavas drin,Gavas Drin,49,1661,0,0
louis beauchamp,Louis Beauchamp,31,1616,0,0
edryno arethi,Edryno Arethi,79,1594,1,75
ulfgar the unending,Ulfgar the Unending,23,1571,0,0
calvus horatius,Calvus Horatius,39,1570,0,0
svenja snow-song,Svenja Snow-Song,35,1566,0,0
skinkintreesshade,Skink-in-Tree's-Shade,81,1539,1,52
miner arobar,Miner Arobar,25,1512,0,0
angaredhel,Angaredhel,34,1480,0,0
aengoth,Aengoth the Jeweler,68,1478,0,0
dagoth_ur_1,Dagoth Ur,38,1468,0,0
kaushad,Kaushad,38,1460,0,0
fons beren,Fons Beren,42,1433,0,0
larrius varro,Larrius Varro,30,1430,0,0
meryn othralas,Meryn Othralas,34,1390,0,0
briring,Briring,33,1377,0,0
flaenia amiulusus,Flaenia Amiulusus,24,1342,2,147
galsa andrano,Galsa Andrano,22,1335,1,85
ienas sarandas,Ienas Sarandas,33,1329,0,0
gaenor,Gaenor,25,1302,3,186
habasi,Sugar-Lips Habasi,69,1298,0,0
elone,Elone,32,1297,0,0
odral helvi,Odral Helvi,66,1288,0,0
therana,Therana,39,1278,0,0
angoril,Angoril,20,1268,2,147
sharn gra-muzgob,Sharn gra-Muzgob,35,1262,0,0
saenus lusius,Saenus Lusius,49,1243,0,0
raven omayn,Raven Omayn,42,1240,0,0
trebonius artorius,Trebonius Artorius,49,1234,0,0
faral retheran,Faral Retheran,67,1217,0,0
endryn llethan,Endryn Llethan,52,1213,0,0
geon auline,Geon Auline,41,1213,0,0
dovor oren,Dovor Oren,43,1199,0,0
big helende,Big Helende,52,1174,0,0
lloros sarano,Lloros Sarano,53,1173,0,0
garisa llethri,Garisa Llethri,37,1172,2,137
geilir the mumbling,Geilir the Mumbling,24,1172,0,0
theldyn virith,Theldyn Virith,56,1170,1,22
edras oril,Edras Oril,39,1132,0,0
gaea artoria,Gaea Artoria,48,1114,0,0
hlaren ramoran,Hlaren Ramoran,48,1105,0,0
ten-tongues_weerhat,'Ten-Tongues' Weerhat,38,1098,0,0
uvoo llaren,Uvoo Llaren,55,1096,0,0
tuls valen,Tuls Valen,45,1079,2,84
trels varis,Trels Varis,24,1076,0,0
apronia alfena,Apronia Alfena,22,1057,0,0
rerlas mon,Rerlas Mon,25,1056,0,0
dratha,Dratha,41,1053,0,0
uleni heleran,Uleni Heleran,14,1047,0,0
dondos driler,Dondos Driler,40,1045,0,0
tharer rotheloth,Tharer Rotheloth,39,1045,3,139
brara morvayn,Mistress Brara Morvayn,30,1033,0,0
dram bero,Dram Bero,39,1029,6,116
zabamund,Zabamund,35,1017,0,0
gilvas barelo,Gilvas Barelo,20,1003,1,88
maela kaushad,Maela Kaushad,27,997,0,0
lorbumol gro-aglakh,Lorbumol gro-Aglakh,57,992,0,0
sjoring hard-heart,Sjoring Hard-Heart,32,970,1,89
arnsa thendas,Arnsa Thendas,37,968,0,0
canctunian ponius,Canctunian Ponius,43,920,0,0
frald the white,Frald the White,46,907,1,54
detritus caria,Detritus Caria,29,879,0,0
jeleen,Jeleen,23,879,0,0
gudling the rascal,Gudling the Rascal,19,874,0,0
ghost_npc_peakstar,Peakstar,26,870,0,0
sunel hlas,Sunel Hlas,32,863,0,0
velanda omani,Velanda Omani,31,859,0,0
aldam berendus,Aldam Berendus,36,858,0,0
llunela hleran,Llunela Hleran,38,847,1,37
miles gloriosus,Miles Gloriosus,14,837,1,68
severia gratius,Severia Gratius,18,830,0,0
constans atrius,Constans Atrius,42,827,0,0
athellor,Athellor,19,817,0,0
hlormar wine-sot,Hlormar Wine-Sot,29,814,0,0
falura llervu,Falura Llervu,30,805,0,0
ignatius_flaccus,Ignatius Flaccus,38,799,0,0
nevena ules,Nevena Ules,24,774,0,0
dhaunayne aundae,Dhaunayne Aundae,27,772,0,0
dumbuk gro-bolak,Dumbuk gro-Bolak,12,765,1,68
elam andas,Elam Andas,16,763,0,0
imsin the dreamer,Imsin the Dreamer,45,763,1,31
uncle sweetshare,Uncle Sweetshare,18,753,0,0
danso indules,Danso Indules,25,752,0,0
shunari eye-fly,Shunari Eye-Fly,26,752,0,0
raesa pullia,Raesa Pullia,12,746,0,0
