cell_id,is_interior,contains_target_keyword,referenced_by_script_count
Abaelun Mine,True,False,0
Abaesen-Pulu Egg Mine,True,False,2
Abanabi,True,False,0
"Abandoned Shipwreck, Cabin",True,False,0
"Abandoned Shipwreck, Lower Level",True,False,0
"Abandoned Shipwreck, Upper Level",True,False,0
Abebaal Egg Mine,True,False,0
Abernanit,True,False,1
Abinabi,True,False,0
Adanumuran,True,False,0
"Addadshashanammu, Shrine",True,False,0
Addamasartus,True,False,0
Ahallaraddon Egg Mine,True,False,0
Ahanibi-Malmus Egg Mine,True,False,2
"Aharasaplit Camp, Zallay's Yurt",True,False,0
Aharnabi,True,False,0
Aharunartus,True,False,0
Ahemmusa Camp,False,False,0
"Ahemmusa Camp, Addammus's Yurt",True,False,0
"Ahemmusa Camp, Ashkhan's Yurt",True,False,0
"Ahemmusa Camp, Assamma-Idan's Yurt",True,False,0
"Ahemmusa Camp, Dutadalk's Yurt",True,False,0
"Ahemmusa Camp, Kausi's Yurt",True,False,0
"Ahemmusa Camp, Lanabi's Yurt",True,False,0
"Ahemmusa Camp, Mamaea's Yurt",True,False,0
"Ahemmusa Camp, Nummu's Yurt",True,False,0
"Ahemmusa Camp, Wise Woman's Yurt",True,False,1
Ahinipalit,True,False,0
"Aidanat Camp, Abassel's Yurt",True,False,0
Ainab,True,False,0
"Ainab, Shrine",True,False,0
Ainat,True,False,0
Akimaes Grotto,True,False,0
Akimaes-Ilanipu Egg Mine,True,False,2
Akulakhan's Chamber,True,False,1
Alas Ancestral Tomb,True,False,0
Ald Daedroth,False,True,0
"Ald Daedroth, Antechamber",True,True,0
"Ald Daedroth, Inner Shrine",True,True,1
"Ald Daedroth, Left Wing",True,True,0
"Ald Daedroth, Outer Shrine",True,True,0
"Ald Daedroth, Right Wing",True,True,0
Ald Redaynia,False,False,0
"Ald Redaynia, Tower",True,False,0
Ald Sotha,False,False,0
"Ald Sotha, Lower Level",True,False,0
"Ald Sotha, Shrine",True,False,0
"Ald Sotha, Upper Level",True,False,0
Ald Velothi,False,False,0
"Ald Velothi, Fevila Bethrano's Shack",True,False,0
"Ald Velothi, Ganus Lloryn's Shack",True,False,0
"Ald Velothi, Ienas Arvel's Shack",True,False,0
"Ald Velothi, Lledsea Relas's Shack",True,False,0
"Ald Velothi, Llerar Vinden's Shack",True,False,0
"Ald Velothi, Outpost",True,False,1
"Ald Velothi, Sathas Rivul's Shack",True,False,0
"Ald Velothi, Vireveri Darethran's Shack",True,False,0
Ald-ruhn,False,False,8
"Ald-ruhn, Ald Skar Inn",True,False,0
"Ald-ruhn, Arobar Guard Quarters",True,False,0
"Ald-ruhn, Arobar Manor Bedrooms",True,False,0
"Ald-ruhn, Arobar Manor Entrance",True,False,0
"Ald-ruhn, Arobar Private Quarters",True,False,0
"Ald-ruhn, Aryni Orethi's House",True,False,0
"Ald-ruhn, Bevene Releth: Clothier",True,False,0
"Ald-ruhn, Bivale Teneran: Clothier",True,False,0
"Ald-ruhn, Boldrisa Andrano's House",True,False,0
"Ald-ruhn, Braynas Hlervu's House",True,False,0
"Ald-ruhn, Cienne Sintieve: Alchemist",True,False,0
"Ald-ruhn, Codus Callonus: Bookseller",True,False,0
"Ald-ruhn, Council Club",True,False,0
"Ald-ruhn, Council Hostel",True,False,0
"Ald-ruhn, Dandera Selaro: Smith",True,False,0
"Ald-ruhn, Daynes Redothril: Pawnbroker",True,False,0
"Ald-ruhn, Dravasa Andrethi's House",True,False,0
"Ald-ruhn, Drinar Varyon's House",True,False,0
"Ald-ruhn, Galsa Gindu's House",True,False,0
"Ald-ruhn, Galthragoth's House",True,False,0
"Ald-ruhn, Gildan's House",True,False,0
"Ald-ruhn, Gindrala Hleran's House",True,False,0
"Ald-ruhn, Goras Andrelo's House",True,False,0
"Ald-ruhn, Guard Tower 1",True,False,0
"Ald-ruhn, Guard Tower 2",True,False,0
"Ald-ruhn, Guild of Fighters",True,False,0
"Ald-ruhn, Guild of Mages",True,False,0
"Ald-ruhn, Guls Llervu's House",True,False,0
"Ald-ruhn, Hanarai Assutlanipal's House",True,False,0
"Ald-ruhn, Ienas Sarandas's House",True,False,0
"Ald-ruhn, Ilmiril's House",True,False,0
"Ald-ruhn, Llether Vari: Enchanter",True,False,0
"Ald-ruhn, Llethri Guard Quarters",True,False,0
"Ald-ruhn, Llethri Manor Bedrooms",True,False,0
"Ald-ruhn, Llethri Manor Entrance",True,False,0
"Ald-ruhn, Llethri Private Quarters",True,False,0
"Ald-ruhn, Malpenix Blonia: Trader",True,False,0
"Ald-ruhn, Manor District",True,False,0
"Ald-ruhn, Morag Tong Guildhall",True,False,0
"Ald-ruhn, Morvayn Quarters",True,False,0
"Ald-ruhn, Pellecia Aurrus's House",True,False,0
"Ald-ruhn, Practice Room",True,False,0
"Ald-ruhn, Ramoran Manor",True,False,0
"Ald-ruhn, Ramoran Private Quarters",True,False,0
"Ald-ruhn, Redoran Council Entrance",True,False,1
"Ald-ruhn, Redoran Council Hall",True,False,0
"Ald-ruhn, Sarethi Guard Quarters",True,False,1
"Ald-ruhn, Sarethi Manor",True,False,1
"Ald-ruhn, Tauryon's House",True,False,0
"Ald-ruhn, Temple",True,False,1
"Ald-ruhn, The Rat In The Pot",True,False,0
"Ald-ruhn, Tiras Sadus: General Merchandise",True,False,0
"Ald-ruhn, Tuveso Beleth: Smith",True,False,0
"Ald-ruhn, Venim Manor Bedrooms",True,False,0
"Ald-ruhn, Venim Manor Entrance",True,False,0
"Ald-ruhn, Venim Manor Guard Quarters",True,False,0
"Ald-ruhn, Venim Manor Private Quarters",True,False,0
"Ald-ruhn, Venim Manor Right Wing",True,False,0
Aleft,True,False,0
Alen Ancestral Tomb,True,False,0
"Almurbalarammi, Shrine",True,False,0
Alof's Farmhouse,True,False,0
An Abandoned Shack,True,False,0
"Ancient Shipwreck, Cabin",True,False,0
"Ancient Shipwreck, Lower Level",True,False,0
"Ancient Shipwreck, Upper Level",True,False,0
Andalen Ancestral Tomb,True,False,0
Andalor Ancestral Tomb,True,False,0
Andas Ancestral Tomb,True,False,0
Andasreth,False,False,1
"Andasreth, Lower Level",True,False,0
"Andasreth, Propylon Chamber",True,False,1
"Andasreth, Upper Level",True,False,0
Andavel Ancestral Tomb,True,False,0
Andrano Ancestral Tomb,True,False,0
Andrethi Ancestral Tomb,True,False,0
Andules Ancestral Tomb,True,False,0
Ansi,True,False,0
Aralen Ancestral Tomb,True,False,0
Aran Ancestral Tomb,True,False,0
Arano Ancestral Tomb,True,False,0
Arano Plantation,True,False,0
Arenim Ancestral Tomb,True,False,0
Arethan Ancestral Tomb,True,False,0
"Arkngthand, Cells of Hollow Hand",True,False,0
"Arkngthand, Deep Ore Passage",True,False,0
"Arkngthand, Hall of Centrifuge",True,False,0
"Arkngthand, Heaven's Gallery",True,False,0
"Arkngthand, Land's Blood Gallery",True,False,0
"Arkngthand, Weepingbell Hall",True,False,0
Arkngthunch-Sturdumz,True,False,0
"Arrow, Cabin",True,False,0
"Arrow, Lower Level",True,False,0
"Arrow, Upper Level",True,False,0
Arvel Manor,True,False,0
"Arvel Manor, Slave Shack",True,False,0
"Arvel Manor, Slavemaster's Shack",True,False,0
"Arvel Manor, Storage Shack",True,False,0
Arvel Plantation,False,False,0
Aryon Ancestral Tomb,True,False,0
Arys Ancestral Tomb,True,False,0
Asha-Ahhe Egg Mine,True,False,0
Ashalmawia,False,False,0
"Ashalmawia, Shrine",True,False,0
"Ashalmawia, Shrine, Sunken Vaults",True,False,0
"Ashalmimilkala, Shrine",True,False,0
"Ashamanu Camp, Kausha's Yurt",True,False,0
Ashanammu,True,False,0
Ashimanu Egg Mine,True,False,0
"Ashimanu Egg Mine, Queen's Lair",True,False,0
Ashinabi,True,False,0
"Ashinabi, Smuggler Den",True,False,0
Ashir-Dan,True,False,0
Ashirbadon,True,False,0
Ashmelech,True,False,1
"Ashunartes, Shrine",True,False,0
Ashurnabitashpi,False,False,0
Ashurnibibi,False,False,0
"Ashurnibibi, Shrine",True,False,0
"Assalkushalit, Shrine",True,False,0
"Assarnatamat, Shrine",True,False,0
Assarnud,True,False,0
Assemanu,True,False,0
"Assemanu, Shrine",True,False,0
"Assernerairan, Shrine",True,False,0
Assu,True,False,0
Assumanu,True,False,0
"Assurdirapal, Inner Shrine",True,False,0
"Assurdirapal, Shrine",True,False,0
Assurnabitashpi,True,False,0
"Assurnabitashpi, Shrine",True,False,0
Bal Fell,False,False,0
"Bal Fell, East Wing",True,False,0
