topic_id,dialogue_type,info_count,keyword_info_count,contains_target_keyword
1000-drake pledge,Topic,7,0,False
11111 test journal,Journal,2,0,False
A1_10_MehraMilo,Journal,6,0,False
A1_11_ZainsubaniGift,Journal,2,0,False
A1_11_ZainsubaniInformant,Journal,10,0,False
A1_1_FindSpymaster,Journal,11,0,False
A1_2_AntabolisInformant,Journal,8,0,False
A1_4_MuzgobInformant,Journal,9,0,False
A1_6_AddhiranirrInformant,Journal,10,0,False
A1_7HuleeyaInformant,Journal,7,0,False
A1_Dreams,Journal,5,0,False
A1_SleeperDreamer02,Journal,3,0,False
A1_SleepersAwake,Journal,6,0,False
A1_Sleepers_Alvura,Journal,2,0,False
A1_Sleepers_Assi,Journal,2,0,False
A1_Sleepers_Daynasa,Journal,2,0,False
A1_Sleepers_Dralas,Journal,2,0,False
A1_Sleepers_Drarayne,Journal,2,0,False
A1_Sleepers_Dravasa,Journal,2,0,False
A1_Sleepers_Endris,Journal,2,0,False
A1_Sleepers_Eralane,Journal,2,0,False
A1_Sleepers_Llandras,Journal,2,0,False
A1_Sleepers_Neldris,Journal,2,0,False
A1_Sleepers_Nelmil,Journal,2,0,False
A1_Sleepers_Rararyn,Journal,2,0,False
A1_Sleepers_Relur,Journal,2,0,False
A1_Sleepers_Vireveri,Journal,2,0,False
A1_Sleepers_Vivyne,Journal,2,0,False
A1_V_VivecInformants,Journal,4,0,False
A2_1_Kurapli_Zallay,Journal,4,0,False
A2_1_MeetSulMatuul,Journal,17,0,False
A2_1_Supplies,Journal,2,0,False
A2_1_Supplies2,Journal,2,0,False
A2_2_6thHouse,Journal,14,0,False
A2_3_CorprusCure,Journal,14,0,False
A2_3_CorprusKiller,Journal,4,0,False
A2_3_CorprusSafe,Journal,3,0,False
A2_3_Corprus_Vistha,Journal,2,0,False
A2_4_MiloCaiusGone,Journal,2,0,False
A2_4_MiloGone,Journal,15,1,False
A2_4_MiloGone_books,Journal,2,0,False
A2_4_MiloPrisonSafe,Journal,2,0,False
A2_4_Milo_hola_go,Journal,2,0,False
A2_6_Ane_Teria,Journal,2,0,False
A2_6_Conoon,Journal,2,0,False
A2_6_Erur-Dan,Journal,2,0,False
A2_6_Hort-Ledd,Journal,2,0,False
A2_6_Idrenie,Journal,2,0,False
A2_6_Incarnate,Journal,25,0,False
A2_6_Peakstar,Journal,2,0,False
Abebaal Egg Mine,Topic,1,0,False
Abolitionists,Topic,7,0,False
Addhiranirr,Topic,20,0,False
Admire Fail,Persuasion,39,0,False
Admire Success,Persuasion,37,0,False
Adraria Vandacia,Topic,7,0,False
Adusamsi,Topic,2,0,False
Advancement,Topic,166,0,False
Aengoth the Jeweler,Topic,10,0,False
Aesliip,Topic,5,0,False
Agrippina Herrenia,Topic,3,0,False
Aharasaplit camp,Topic,3,0,False
Ahaz,Topic,1,0,False
Ahemmusa,Topic,3,0,False
Ahemmusa Nerevarine,Topic,7,0,False
Ahemmusa camp,Topic,11,3,False
Ahnassi,Topic,4,0,False
Ahnia,Topic,8,0,False
Airan's Teeth,Topic,2,2,False
Akatosh,Topic,14,0,False
Alarm,Voice,1,0,False
Ald Daedroth,Topic,4,3,True
Ald Redaynia,Topic,5,0,False
Ald Sotha,Topic,12,7,False
Ald Velothi,Topic,13,0,False
Ald'ruhn,Topic,10,0,False
Aldmeri,Topic,4,0,False
Aldmeris,Topic,2,0,False
Alembic,Topic,2,0,False
Alfe Fyr,Topic,1,0,False
Almalexia,Topic,117,0,False
